segment_id,geolocation_type,geolocation_id,sensor_id,snr_type,date_index,target_type
230,C,5,5,HighSNR,4,human
231,C,5,5,HighSNR,4,human
232,C,5,5,HighSNR,4,human
233,C,5,5,HighSNR,4,human
234,C,5,5,HighSNR,4,human
235,C,5,5,HighSNR,4,human
236,C,5,5,HighSNR,4,human
237,C,5,5,HighSNR,4,human
238,C,5,5,HighSNR,4,human
239,C,5,5,HighSNR,4,human
240,C,5,5,HighSNR,4,human
241,C,5,5,HighSNR,4,human
242,C,5,5,HighSNR,4,human
243,C,5,5,HighSNR,4,human
244,C,5,5,HighSNR,4,human
245,C,5,5,HighSNR,4,human
246,C,5,5,HighSNR,4,human
247,C,5,5,HighSNR,4,human
248,C,5,5,HighSNR,4,human
249,C,5,5,HighSNR,4,human
250,C,5,5,HighSNR,4,human
251,C,5,5,HighSNR,4,human
252,C,5,5,HighSNR,4,human
253,C,5,5,HighSNR,4,human
254,C,5,5,HighSNR,4,human
255,C,5,5,HighSNR,4,human
256,C,5,5,HighSNR,4,human
257,C,5,5,HighSNR,4,human
258,C,5,5,HighSNR,4,human
259,C,5,5,HighSNR,4,human
260,C,5,5,HighSNR,4,human
261,C,5,5,HighSNR,4,human
262,C,5,5,HighSNR,4,human
263,C,5,5,HighSNR,4,human
264,C,5,5,HighSNR,4,human
265,C,5,5,HighSNR,4,human
266,C,5,5,HighSNR,4,human
267,C,5,5,HighSNR,4,human
268,C,5,5,HighSNR,4,human
269,C,5,5,HighSNR,4,human
270,C,5,5,HighSNR,4,human
271,C,5,5,HighSNR,4,human
272,C,5,5,HighSNR,4,human
273,C,5,5,HighSNR,4,human
274,C,5,5,HighSNR,4,human
275,C,5,5,HighSNR,4,human
276,C,5,5,HighSNR,4,human
277,C,5,5,HighSNR,4,human
278,C,5,5,HighSNR,4,human
279,C,5,5,HighSNR,4,human
280,C,5,5,HighSNR,4,human
281,C,5,5,HighSNR,4,human
282,C,5,5,HighSNR,4,human
283,C,5,5,HighSNR,4,human
284,C,5,5,HighSNR,4,human
285,C,5,5,HighSNR,4,human
286,C,5,5,HighSNR,4,human
287,C,5,5,HighSNR,4,human
288,C,5,5,HighSNR,4,human
289,C,5,5,HighSNR,4,human
290,C,5,5,HighSNR,4,human
291,C,5,5,HighSNR,4,human
292,C,5,5,HighSNR,4,human
293,C,5,5,HighSNR,4,human
294,C,5,5,HighSNR,4,human
295,C,5,5,HighSNR,4,human
296,C,5,5,HighSNR,4,human
297,C,5,5,HighSNR,4,human
298,C,5,5,HighSNR,4,human
299,C,5,5,HighSNR,4,human
300,C,5,5,HighSNR,4,human
301,C,5,5,HighSNR,4,human
302,C,5,5,HighSNR,4,human
303,C,5,5,HighSNR,4,human
304,C,5,5,HighSNR,4,human
305,C,5,5,HighSNR,4,human
306,C,5,5,HighSNR,4,human
307,C,5,5,HighSNR,4,human
308,C,5,5,HighSNR,4,human
309,C,5,5,HighSNR,4,human
310,C,5,5,HighSNR,4,human
311,C,5,5,HighSNR,4,human
312,C,5,5,HighSNR,4,human
313,C,5,5,HighSNR,4,human
314,C,5,5,HighSNR,4,human
315,C,5,5,HighSNR,4,human
316,C,5,5,HighSNR,4,human
317,C,5,5,HighSNR,4,human
318,C,5,5,HighSNR,4,human
319,C,5,5,HighSNR,4,human
320,C,5,5,HighSNR,4,human
321,C,5,5,HighSNR,4,human
322,C,5,5,HighSNR,4,human
323,C,5,5,HighSNR,4,human
324,C,5,5,HighSNR,4,human
325,C,5,5,HighSNR,4,human
326,C,5,5,HighSNR,4,human
327,C,5,5,HighSNR,4,human
328,C,5,5,HighSNR,4,human
329,C,5,5,HighSNR,4,human
330,C,5,5,HighSNR,4,human
331,C,5,5,HighSNR,4,human
332,C,5,5,HighSNR,4,human
333,C,5,5,HighSNR,4,human
334,C,5,5,HighSNR,4,human
335,C,5,5,HighSNR,4,human
336,C,5,5,HighSNR,4,human
337,C,5,5,HighSNR,4,human
338,C,5,5,HighSNR,4,human
339,C,5,5,HighSNR,4,human
340,C,5,5,HighSNR,4,human
341,C,5,5,HighSNR,4,human
342,C,5,5,HighSNR,4,human
343,C,5,5,HighSNR,4,human
344,C,5,5,HighSNR,4,human
345,C,5,5,HighSNR,4,human
346,C,5,5,HighSNR,4,human
347,C,5,5,HighSNR,4,human
348,C,5,5,HighSNR,4,human
349,C,5,5,HighSNR,4,human
350,C,5,5,HighSNR,4,human
351,C,5,5,HighSNR,4,human
352,C,5,5,HighSNR,4,human
353,C,5,5,HighSNR,4,human
354,C,5,5,HighSNR,4,human
355,C,5,5,HighSNR,4,human
356,C,5,5,HighSNR,4,human
357,C,5,5,HighSNR,4,human
358,C,5,5,HighSNR,4,human
359,C,5,5,HighSNR,4,human
360,C,5,5,HighSNR,4,human
361,C,5,5,HighSNR,4,human
362,C,5,5,HighSNR,4,human
363,C,5,5,HighSNR,4,human
364,C,5,5,HighSNR,4,human
365,C,5,5,HighSNR,4,human
366,C,5,5,HighSNR,4,human
367,C,5,5,HighSNR,4,human
368,C,5,5,HighSNR,4,human
369,C,5,5,HighSNR,4,human
370,C,5,5,HighSNR,4,human
371,C,5,5,HighSNR,4,human
372,C,5,5,HighSNR,4,human
373,C,5,5,HighSNR,4,human
374,C,5,5,HighSNR,4,human
375,C,5,5,HighSNR,4,human
376,C,5,5,HighSNR,4,human
377,C,5,5,HighSNR,4,human
378,C,5,5,HighSNR,4,human
379,C,5,5,HighSNR,4,human
380,C,5,5,HighSNR,4,human
381,C,5,5,HighSNR,4,human
382,C,5,5,HighSNR,4,human
383,C,5,5,HighSNR,4,human
384,C,5,5,HighSNR,4,human
385,C,5,5,HighSNR,4,human
386,C,5,5,HighSNR,4,human
387,C,5,5,HighSNR,4,human
388,C,5,5,HighSNR,4,human
389,C,5,5,HighSNR,4,human
390,C,5,5,HighSNR,4,human
391,C,5,5,HighSNR,4,human
392,C,5,5,HighSNR,4,human
393,C,5,5,HighSNR,4,human
394,C,5,5,HighSNR,4,human
395,C,5,5,HighSNR,4,human
396,C,5,5,HighSNR,4,human
397,C,5,5,HighSNR,4,human
398,C,5,5,HighSNR,4,human
399,C,5,5,HighSNR,4,human
400,C,5,5,HighSNR,4,human
401,C,5,5,HighSNR,4,human
402,C,5,5,HighSNR,4,human
403,C,5,5,HighSNR,4,human
404,C,5,5,HighSNR,4,human
405,C,5,5,HighSNR,4,human
406,C,5,5,HighSNR,4,human
407,C,5,5,HighSNR,4,human
408,C,5,5,HighSNR,4,human
409,C,5,5,HighSNR,4,human
410,C,5,5,HighSNR,4,human
411,C,5,5,HighSNR,4,human
412,C,5,5,HighSNR,4,human
413,C,5,5,HighSNR,4,human
414,C,5,5,HighSNR,4,human
415,C,5,5,HighSNR,4,human
416,C,5,5,HighSNR,4,human
417,C,5,5,HighSNR,4,human
418,C,5,5,HighSNR,4,human
419,C,5,5,HighSNR,4,human
420,C,5,5,HighSNR,4,human
421,C,5,5,HighSNR,4,human
422,C,5,5,HighSNR,4,human
423,C,5,5,HighSNR,4,human
424,C,5,5,HighSNR,4,human
425,C,5,5,HighSNR,4,human
426,C,5,5,HighSNR,4,human
427,C,5,5,HighSNR,4,human
428,C,5,5,HighSNR,4,human
429,C,5,5,HighSNR,4,human
430,C,5,5,HighSNR,4,human
431,C,5,5,HighSNR,4,human
432,C,5,5,HighSNR,4,human
433,C,5,5,HighSNR,4,human
434,C,5,5,HighSNR,4,human
435,C,5,5,HighSNR,4,human
436,C,5,5,HighSNR,4,human
437,C,5,5,HighSNR,4,human
438,C,5,5,HighSNR,4,human
439,C,5,5,HighSNR,4,human
440,C,5,5,HighSNR,4,human
441,C,5,5,HighSNR,4,human
442,C,5,5,HighSNR,4,human
443,C,5,5,HighSNR,4,human
444,C,5,5,HighSNR,4,human
445,C,5,5,HighSNR,4,human
446,C,5,5,HighSNR,4,human
447,C,5,5,HighSNR,4,human
448,C,5,5,HighSNR,4,human
449,C,5,5,HighSNR,4,human
450,C,5,5,HighSNR,4,human
451,C,5,5,HighSNR,4,human
452,C,5,5,HighSNR,4,human
453,C,5,5,HighSNR,4,human
454,C,5,5,HighSNR,4,human
455,C,5,5,HighSNR,4,human
456,C,5,5,HighSNR,4,human
457,C,5,5,HighSNR,4,human
458,C,5,5,HighSNR,4,human
459,C,5,5,HighSNR,4,human
460,C,5,5,HighSNR,4,human
461,C,5,5,HighSNR,4,human
462,C,5,5,HighSNR,4,human
463,C,5,5,HighSNR,4,human
464,C,5,5,HighSNR,4,human
465,C,5,5,HighSNR,4,human
466,C,5,5,HighSNR,4,human
467,C,5,5,HighSNR,4,human
468,C,5,5,HighSNR,4,human
469,C,5,5,HighSNR,4,human
470,C,5,5,HighSNR,4,human
471,C,5,5,HighSNR,4,human
472,C,5,5,HighSNR,4,human
473,C,5,5,HighSNR,4,human
474,C,5,5,HighSNR,4,human
475,C,5,5,HighSNR,4,human
476,C,5,5,HighSNR,4,human
477,C,5,5,HighSNR,4,human
478,C,5,5,HighSNR,4,human
479,C,5,5,HighSNR,4,human
480,C,5,5,HighSNR,4,human
481,C,5,5,HighSNR,4,human
482,C,5,5,HighSNR,4,human
483,C,5,5,HighSNR,4,human
484,C,5,5,HighSNR,4,human
485,C,5,5,HighSNR,4,human
486,C,5,5,HighSNR,4,human
487,C,5,5,HighSNR,4,human
488,C,5,5,HighSNR,4,human
489,C,5,5,HighSNR,4,human
490,C,5,5,HighSNR,4,human
491,C,5,5,HighSNR,4,human
492,C,5,5,HighSNR,4,human
493,C,5,5,HighSNR,4,human
494,C,5,5,HighSNR,4,human
495,C,5,5,HighSNR,4,human
496,C,5,5,HighSNR,4,human
497,C,5,5,HighSNR,4,human
498,C,5,5,HighSNR,4,human
499,C,5,5,HighSNR,4,human
500,C,5,5,HighSNR,4,human
501,C,5,5,HighSNR,4,human
502,C,5,5,HighSNR,4,human
503,C,5,5,HighSNR,4,human
504,C,5,5,HighSNR,4,human
505,C,5,5,HighSNR,4,human
506,C,5,5,HighSNR,4,human
507,C,5,5,HighSNR,4,human
508,C,5,5,HighSNR,4,human
509,C,5,5,HighSNR,4,human
510,C,5,5,HighSNR,4,human
511,C,5,5,HighSNR,4,human
512,C,5,5,HighSNR,4,human
513,C,5,5,HighSNR,4,human
514,C,5,5,HighSNR,4,human
515,C,5,5,HighSNR,4,human
516,C,5,5,HighSNR,4,human
517,C,5,5,HighSNR,4,human
518,C,5,5,HighSNR,4,human
519,C,5,5,HighSNR,4,human
520,C,5,5,HighSNR,4,human
521,C,5,5,HighSNR,4,human
522,C,5,5,HighSNR,4,human
523,C,5,5,HighSNR,4,human
524,C,5,5,HighSNR,4,human
525,C,5,5,HighSNR,4,human
526,C,5,5,HighSNR,4,human
527,C,5,5,HighSNR,4,human
528,C,5,5,HighSNR,4,human
529,C,5,5,HighSNR,4,human
530,C,5,5,HighSNR,4,human
531,C,5,5,HighSNR,4,human
532,C,5,5,HighSNR,4,human
533,C,5,5,HighSNR,4,human
534,C,5,5,HighSNR,4,human
535,C,5,5,HighSNR,4,human
536,C,5,5,HighSNR,4,human
537,C,5,5,HighSNR,4,human
538,C,5,5,HighSNR,4,human
539,C,5,5,HighSNR,4,human
540,C,5,5,HighSNR,4,human
541,C,5,5,HighSNR,4,human
542,C,5,5,HighSNR,4,human
543,C,5,5,HighSNR,4,human
544,C,5,5,HighSNR,4,human
545,C,5,5,HighSNR,4,human
546,C,5,5,HighSNR,4,human
547,C,5,5,HighSNR,4,human
548,C,5,5,HighSNR,4,human
549,C,5,5,HighSNR,4,human
550,C,5,5,HighSNR,4,human
551,C,5,5,HighSNR,4,human
552,C,5,5,HighSNR,4,human
553,C,5,5,HighSNR,4,human
554,C,5,5,HighSNR,4,human
555,C,5,5,HighSNR,4,human
556,C,5,5,HighSNR,4,human
557,C,5,5,HighSNR,4,human
558,C,5,5,HighSNR,4,human
559,C,5,5,HighSNR,4,human
560,C,5,5,HighSNR,4,human
561,C,5,5,HighSNR,4,human
562,C,5,5,HighSNR,4,human
563,C,5,5,HighSNR,4,human
564,C,5,5,HighSNR,4,human
565,C,5,5,HighSNR,4,human
566,C,5,5,HighSNR,4,human
567,C,5,5,HighSNR,4,human
568,C,5,5,HighSNR,4,human
569,C,5,5,HighSNR,4,human
570,C,5,5,HighSNR,4,human
571,C,5,5,HighSNR,4,human
572,C,5,5,HighSNR,4,human
573,C,5,5,HighSNR,4,human
574,C,5,5,HighSNR,4,human
575,C,5,5,HighSNR,4,human
576,C,5,5,HighSNR,4,human
577,C,5,5,HighSNR,4,human
578,C,5,5,HighSNR,4,human
579,C,5,5,HighSNR,4,human
580,C,5,5,HighSNR,4,human
581,C,5,5,HighSNR,4,human
582,C,5,5,HighSNR,4,human
583,C,5,5,HighSNR,4,human
584,C,5,5,HighSNR,4,human
585,C,5,5,HighSNR,4,human
586,C,5,5,HighSNR,4,human
587,C,5,5,HighSNR,4,human
588,C,5,5,HighSNR,4,human
589,C,5,5,HighSNR,4,human
590,C,5,5,HighSNR,4,human
591,C,5,5,HighSNR,4,human
592,C,5,5,HighSNR,4,human
593,C,5,5,HighSNR,4,human
594,C,5,5,HighSNR,4,human
595,C,5,5,HighSNR,4,human
596,C,5,5,HighSNR,4,human
597,C,5,5,HighSNR,4,human
598,C,5,5,HighSNR,4,human
599,C,5,5,HighSNR,4,human
600,C,5,5,HighSNR,4,human
601,C,5,5,HighSNR,4,human
602,C,5,5,HighSNR,4,human
603,C,5,5,HighSNR,4,human
604,C,5,5,HighSNR,4,human
605,C,5,5,HighSNR,4,human
606,C,5,5,HighSNR,4,human
607,C,5,5,HighSNR,4,human
608,C,5,5,HighSNR,4,human
609,C,5,5,HighSNR,4,human
610,C,5,5,HighSNR,4,human
611,C,5,5,HighSNR,4,human
612,C,5,5,HighSNR,4,human
613,C,5,5,HighSNR,4,human
614,C,5,5,HighSNR,4,human
615,C,5,5,HighSNR,4,human
616,C,5,5,HighSNR,4,human
617,C,5,5,HighSNR,4,human
618,C,5,5,HighSNR,4,human
619,C,5,5,HighSNR,4,human
620,C,5,5,HighSNR,4,human
621,C,5,5,HighSNR,4,human
622,C,5,5,HighSNR,4,human
623,C,5,5,HighSNR,4,human
624,C,5,5,HighSNR,4,human
625,C,5,5,HighSNR,4,human
626,C,5,5,HighSNR,4,human
627,C,5,5,HighSNR,4,human
628,C,5,5,HighSNR,4,human
629,C,5,5,HighSNR,4,human
630,C,5,5,HighSNR,4,human
631,C,5,5,HighSNR,4,human
632,C,5,5,HighSNR,4,human
633,C,5,5,HighSNR,4,human
634,C,5,5,HighSNR,4,human
635,C,5,5,HighSNR,4,human
636,C,5,5,HighSNR,4,human
637,C,5,5,HighSNR,4,human
638,C,5,5,HighSNR,4,human
639,C,5,5,HighSNR,4,human
640,C,5,5,HighSNR,4,human
641,C,5,5,HighSNR,4,human
642,C,5,5,HighSNR,4,human
643,C,5,5,HighSNR,4,human
644,C,5,5,HighSNR,4,human
645,C,5,5,HighSNR,4,human
646,C,5,5,HighSNR,4,human
647,C,5,5,HighSNR,4,human
648,C,5,5,HighSNR,4,human
649,C,5,5,HighSNR,4,human
650,C,5,5,HighSNR,4,human
651,C,5,5,HighSNR,4,human
652,C,5,5,HighSNR,4,human
653,C,5,5,HighSNR,4,human
654,C,5,5,HighSNR,4,human
655,C,5,5,HighSNR,4,human
656,C,5,5,HighSNR,4,human
657,C,5,5,HighSNR,4,human
658,C,5,5,HighSNR,4,human
659,C,5,5,HighSNR,4,human
660,C,5,5,HighSNR,4,human
661,C,5,5,HighSNR,4,human
662,C,5,5,HighSNR,4,human
663,C,5,5,HighSNR,4,human
664,C,5,5,HighSNR,4,human
665,C,5,5,HighSNR,4,human
666,C,5,5,HighSNR,4,human
667,C,5,5,HighSNR,4,human
668,C,5,5,HighSNR,4,human
669,C,5,5,HighSNR,4,human
670,C,5,5,HighSNR,4,human
671,C,5,5,HighSNR,4,human
672,C,5,5,HighSNR,4,human
673,C,5,5,HighSNR,4,human
674,C,5,5,HighSNR,4,human
675,C,5,5,HighSNR,4,human
676,C,5,5,HighSNR,4,human
677,C,5,5,HighSNR,4,human
678,C,5,5,HighSNR,4,human
679,C,5,5,HighSNR,4,human
680,C,5,5,HighSNR,4,human
681,C,5,5,HighSNR,4,human
682,C,5,5,HighSNR,4,human
683,C,5,5,HighSNR,4,human
684,C,5,5,HighSNR,4,human
685,C,5,5,HighSNR,4,human
686,C,5,5,HighSNR,4,human
687,C,5,5,HighSNR,4,human
688,C,5,5,HighSNR,4,human
689,C,5,5,HighSNR,4,human
690,C,5,5,HighSNR,4,human
691,C,5,5,HighSNR,4,human
692,C,5,5,HighSNR,4,human
693,C,5,5,HighSNR,4,human
694,C,5,5,HighSNR,4,human
695,C,5,5,HighSNR,4,human
696,C,5,5,HighSNR,4,human
697,C,5,5,HighSNR,4,human
698,C,5,5,HighSNR,4,human
699,C,5,5,HighSNR,4,human
700,C,5,5,HighSNR,4,human
701,C,5,5,HighSNR,4,human
702,C,5,5,HighSNR,4,human
703,C,5,5,HighSNR,4,human
704,C,5,5,HighSNR,4,human
705,C,5,5,HighSNR,4,human
706,C,5,5,HighSNR,4,human
707,C,5,5,HighSNR,4,human
708,C,5,5,HighSNR,4,human
709,C,5,5,HighSNR,4,human
710,C,5,5,HighSNR,4,human
711,C,5,5,HighSNR,4,human
712,C,5,5,HighSNR,4,human
713,C,5,5,HighSNR,4,human
714,C,5,5,HighSNR,4,human
715,C,5,5,HighSNR,4,human
716,C,5,5,HighSNR,4,human
717,C,5,5,HighSNR,4,human
718,C,5,5,HighSNR,4,human
719,C,5,5,HighSNR,4,human
720,C,5,5,HighSNR,4,human
721,C,5,5,HighSNR,4,human
722,C,5,5,HighSNR,4,human
723,C,5,5,HighSNR,4,human
724,C,5,5,HighSNR,4,human
725,C,5,5,HighSNR,4,human
726,C,5,5,HighSNR,4,human
727,C,5,5,HighSNR,4,human
728,C,5,5,HighSNR,4,human
729,C,5,5,HighSNR,4,human
730,C,5,5,HighSNR,4,human
731,C,5,5,HighSNR,4,human
732,C,5,5,HighSNR,4,human
733,C,5,5,HighSNR,4,human
734,C,5,5,HighSNR,4,human
735,C,5,5,HighSNR,4,human
736,C,5,5,HighSNR,4,human
737,C,5,5,HighSNR,4,human
738,C,5,5,HighSNR,4,human
739,C,5,5,HighSNR,4,human
740,C,5,5,HighSNR,4,human
741,C,5,5,HighSNR,4,human
742,C,5,5,HighSNR,4,human
743,C,5,5,HighSNR,4,human
744,C,5,5,HighSNR,4,human
745,C,5,5,HighSNR,4,human
746,C,5,5,HighSNR,4,human
747,C,5,5,HighSNR,4,human
748,C,5,5,HighSNR,4,human
749,C,5,5,HighSNR,4,human
750,C,5,5,HighSNR,4,human
751,C,5,5,HighSNR,4,human
752,C,5,5,HighSNR,4,human
753,C,5,5,HighSNR,4,human
754,C,5,5,HighSNR,4,human
755,C,5,5,HighSNR,4,human
756,C,5,5,HighSNR,4,human
757,C,5,5,HighSNR,4,human
758,C,5,5,HighSNR,4,human
759,C,5,5,HighSNR,4,human
760,C,5,5,HighSNR,4,human
761,C,5,5,HighSNR,4,human
762,C,5,5,HighSNR,4,human
763,C,5,5,HighSNR,4,human
764,C,5,5,HighSNR,4,human
765,C,5,5,HighSNR,4,human
766,C,5,5,HighSNR,4,human
767,C,5,5,HighSNR,4,human
768,C,5,5,HighSNR,4,human
769,C,5,5,HighSNR,4,human
770,C,5,5,HighSNR,4,human
771,C,5,5,HighSNR,4,human
772,C,5,5,HighSNR,4,human
773,C,5,5,HighSNR,4,human
